distrito, concelho, freguesia, ano e mes, preco_m2
Porto,Vila Nova de Gaia,Gulpilhares e Valadares,Fevereiro 2019,1.187
Porto,Vila Nova de Gaia,Gulpilhares e Valadares,Janeiro 2019,1.177
Porto,Vila Nova de Gaia,Gulpilhares e Valadares,Dezembro 2018,1.148
Porto,Vila Nova de Gaia,Gulpilhares e Valadares,Novembro 2018,1.160
Porto,Vila Nova de Gaia,Gulpilhares e Valadares,Outubro 2018,1.162
Porto,Vila Nova de Gaia,Gulpilhares e Valadares,Setembro 2018,1.147
Porto,Vila Nova de Gaia,Gulpilhares e Valadares,Agosto 2018,1.147
Porto,Vila Nova de Gaia,Gulpilhares e Valadares,Julho 2018,1.134
Porto,Vila Nova de Gaia,Gulpilhares e Valadares,Junho 2018,1.137
Porto,Vila Nova de Gaia,Gulpilhares e Valadares,Maio 2018,1.119
Porto,Vila Nova de Gaia,Gulpilhares e Valadares,Abril 2018,1.112
Porto,Vila Nova de Gaia,Gulpilhares e Valadares,Março 2018,1.108
Porto,Vila Nova de Gaia,Gulpilhares e Valadares,Fevereiro 2018,1.109
Porto,Vila Nova de Gaia,Gulpilhares e Valadares,Janeiro 2018,1.141
Porto,Vila Nova de Gaia,Gulpilhares e Valadares,Dezembro 2017,1.119
Porto,Vila Nova de Gaia,Gulpilhares e Valadares,Novembro 2017,1.101
Porto,Vila Nova de Gaia,Gulpilhares e Valadares,Outubro 2017,1.099
Porto,Vila Nova de Gaia,Gulpilhares e Valadares,Setembro 2017,1.091
Porto,Vila Nova de Gaia,Gulpilhares e Valadares,Agosto 2017,1.079
Porto,Vila Nova de Gaia,Gulpilhares e Valadares,Julho 2017,1.071
Porto,Vila Nova de Gaia,Gulpilhares e Valadares,Junho 2017,1.046
Porto,Vila Nova de Gaia,Gulpilhares e Valadares,Maio 2017,1.029
Porto,Vila Nova de Gaia,Gulpilhares e Valadares,Abril 2017,1.029
Porto,Vila Nova de Gaia,Gulpilhares e Valadares,Março 2017,1.004
Porto,Vila Nova de Gaia,Gulpilhares e Valadares,Fevereiro 2017,975
Porto,Vila Nova de Gaia,Gulpilhares e Valadares,Janeiro 2017,960
Porto,Vila Nova de Gaia,Gulpilhares e Valadares,Dezembro 2016,968
Porto,Vila Nova de Gaia,Gulpilhares e Valadares,Novembro 2016,962
Porto,Vila Nova de Gaia,Gulpilhares e Valadares,Outubro 2016,950
Porto,Vila Nova de Gaia,Gulpilhares e Valadares,Setembro 2016,938
Porto,Vila Nova de Gaia,Gulpilhares e Valadares,Agosto 2016,935
Porto,Vila Nova de Gaia,Gulpilhares e Valadares,Julho 2016,936
Porto,Vila Nova de Gaia,Gulpilhares e Valadares,Junho 2016,922
Porto,Vila Nova de Gaia,Gulpilhares e Valadares,Maio 2016,931
Porto,Vila Nova de Gaia,Gulpilhares e Valadares,Abril 2016,908
Porto,Vila Nova de Gaia,Gulpilhares e Valadares,Março 2016,906
Porto,Vila Nova de Gaia,Gulpilhares e Valadares,Fevereiro 2016,911
Porto,Vila Nova de Gaia,Gulpilhares e Valadares,Janeiro 2016,914
Porto,Vila Nova de Gaia,Gulpilhares e Valadares,Dezembro 2015,889
Porto,Vila Nova de Gaia,Gulpilhares e Valadares,Novembro 2015,886
Porto,Vila Nova de Gaia,Gulpilhares e Valadares,Outubro 2015,879
Porto,Vila Nova de Gaia,Gulpilhares e Valadares,Setembro 2015,928
Porto,Vila Nova de Gaia,Gulpilhares e Valadares,Agosto 2015,918
Porto,Vila Nova de Gaia,Gulpilhares e Valadares,Julho 2015,922
Porto,Vila Nova de Gaia,Gulpilhares e Valadares,Junho 2015,877
Porto,Vila Nova de Gaia,Gulpilhares e Valadares,Maio 2015,840
Porto,Vila Nova de Gaia,Gulpilhares e Valadares,Abril 2015,880
Porto,Vila Nova de Gaia,Gulpilhares e Valadares,Março 2015,903
Porto,Vila Nova de Gaia,Gulpilhares e Valadares,Fevereiro 2015,919
Porto,Vila Nova de Gaia,Gulpilhares e Valadares,Janeiro 2015,921
Porto,Vila Nova de Gaia,Madalena,Dezembro 2019,1.485
Porto,Vila Nova de Gaia,Madalena,Novembro 2019,1.494
Porto,Vila Nova de Gaia,Madalena,Outubro 2019,1.444
Porto,Vila Nova de Gaia,Madalena,Setembro 2019,1.420
Porto,Vila Nova de Gaia,Madalena,Agosto 2019,1.469
Porto,Vila Nova de Gaia,Madalena,Julho 2019,1.486
Porto,Vila Nova de Gaia,Madalena,Junho 2019,1.492
Porto,Vila Nova de Gaia,Madalena,Maio 2019,1.517
Porto,Vila Nova de Gaia,Madalena,Abril 2019,1.536
Porto,Vila Nova de Gaia,Madalena,Março 2019,1.565
Porto,Vila Nova de Gaia,Madalena,Fevereiro 2019,1.526
Porto,Vila Nova de Gaia,Madalena,Janeiro 2019,1.491
Porto,Vila Nova de Gaia,Madalena,Dezembro 2018,1.478
Porto,Vila Nova de Gaia,Madalena,Novembro 2018,1.457
Porto,Vila Nova de Gaia,Madalena,Outubro 2018,1.492
Porto,Vila Nova de Gaia,Madalena,Setembro 2018,1.437
Porto,Vila Nova de Gaia,Madalena,Agosto 2018,1.380
Porto,Vila Nova de Gaia,Madalena,Julho 2018,1.345
Porto,Vila Nova de Gaia,Madalena,Junho 2018,1.292
Porto,Vila Nova de Gaia,Madalena,Maio 2018,1.285
Porto,Vila Nova de Gaia,Madalena,Abril 2018,1.255
Porto,Vila Nova de Gaia,Madalena,Março 2018,1.228
Porto,Vila Nova de Gaia,Madalena,Fevereiro 2018,1.239
Porto,Vila Nova de Gaia,Madalena,Janeiro 2018,1.239
Porto,Vila Nova de Gaia,Madalena,Dezembro 2017,1.213
Porto,Vila Nova de Gaia,Madalena,Novembro 2017,1.181
Porto,Vila Nova de Gaia,Madalena,Outubro 2017,1.144
Porto,Vila Nova de Gaia,Madalena,Setembro 2017,1.137
Porto,Vila Nova de Gaia,Madalena,Agosto 2017,1.127
Porto,Vila Nova de Gaia,Madalena,Julho 2017,1.124
Porto,Vila Nova de Gaia,Madalena,Junho 2017,1.104
Porto,Vila Nova de Gaia,Madalena,Maio 2017,1.112
Porto,Vila Nova de Gaia,Madalena,Abril 2017,1.098
Porto,Vila Nova de Gaia,Madalena,Março 2017,1.108
Porto,Vila Nova de Gaia,Madalena,Fevereiro 2017,1.071
Porto,Vila Nova de Gaia,Madalena,Janeiro 2017,1.090
Porto,Vila Nova de Gaia,Madalena,Dezembro 2016,1.085
Porto,Vila Nova de Gaia,Madalena,Novembro 2016,1.038
Porto,Vila Nova de Gaia,Madalena,Outubro 2016,1.021
Porto,Vila Nova de Gaia,Madalena,Setembro 2016,1.022
Porto,Vila Nova de Gaia,Madalena,Agosto 2016,1.075
Porto,Vila Nova de Gaia,Madalena,Julho 2016,1.062
Porto,Vila Nova de Gaia,Madalena,Junho 2016,987
